customer,interarrival_time,service_time,arrival_time,service_start,service_end,wait_time,process_duration,queue_length,rating,price_paid,postal_code,lat,long
66,10.13,8.33,0.0,0.0,0.15,0.0,8.33,1,5,10,460211,1.3256,103.93241
67,9.37,14.47,0.17,0.17,0.4,0.0,14.47,1,5,10,470631,1.33331,103.91448
68,1.78,11.17,0.2,0.2,0.38,0.22,11.38,2,5,10,330027,1.31884,103.86282
69,12.2,9.07,0.4,0.4,0.55,0.0,9.07,1,4,8,570510,1.34878,103.8497
70,3.02,8.27,0.45,0.45,0.58,0.0,8.27,1,5,8,650156,1.34836,103.74384
71,6.4,10.6,0.55,0.55,0.73,0.0,10.6,1,4,8,680623,1.39832,103.74734
72,3.47,5.92,0.62,0.62,0.72,0.0,5.92,1,4,10,121441,1.31483,103.7646
73,4.52,10.23,0.68,0.72,0.88,1.38,11.62,2,4,10,508913,1.37093,103.97119
74,0.48,8.03,0.7,0.73,0.87,2.12,10.15,3,5,10,540330,1.39681,103.88936
75,30.67,7.13,1.2,1.2,1.32,0.0,7.13,0,4,10,670260,1.3884,103.78793
76,0.65,9.8,1.22,1.22,1.38,0.0,9.8,1,5,10,460211,1.3256,103.93241
77,19.12,13.77,1.53,1.53,1.77,0.0,13.77,0,5,10,470631,1.33331,103.91448
78,46.18,7.97,2.3,2.3,2.43,0.0,7.97,0,5,10,330027,1.31884,103.86282
79,52.9,9.12,3.18,3.18,3.33,0.0,9.12,0,5,10,570510,1.34878,103.8497
80,1.62,10.85,3.22,3.22,3.4,0.0,10.85,1,5,10,650156,1.34836,103.74384
81,3.72,11.42,3.28,3.33,3.53,3.78,15.2,2,5,8,680623,1.39832,103.74734
82,7.73,9.75,3.4,3.4,3.57,0.0,9.75,1,5,10,121441,1.31483,103.7646
83,20.18,9.17,3.73,3.73,3.9,0.0,9.17,0,4,18,530108,1.35288,103.8905
84,7.08,6.4,3.87,3.87,3.97,0.0,6.4,1,4,18,530682,1.37373,103.88552
85,25.22,13.72,4.28,4.28,4.5,0.0,13.72,0,5,25,530804,1.37115,103.89447
86,9.55,10.35,4.43,4.43,4.62,0.0,10.35,1,3,8,508913,1.37093,103.97119
87,0.23,8.83,4.45,4.5,4.65,3.93,12.77,2,5,10,540330,1.39681,103.88936
88,10.37,9.97,4.62,4.62,4.78,0.0,9.97,1,5,10,670260,1.3884,103.78793
89,18.58,8.13,4.92,4.92,5.07,0.0,8.13,0,4,18,460211,1.3256,103.93241
90,23.83,9.0,5.32,5.32,5.47,0.0,9.0,0,4,10,470631,1.33331,103.91448
91,40.08,9.67,5.98,5.98,6.15,0.0,9.67,0,5,10,330027,1.31884,103.86282
92,3.0,12.08,6.03,6.03,6.23,0.0,12.08,1,5,10,570510,1.34878,103.8497
93,13.37,11.88,6.27,6.27,6.47,0.0,11.88,0,4,18,650156,1.34836,103.74384
94,25.0,10.53,6.68,6.68,6.85,0.0,10.53,0,4,8,680623,1.39832,103.74734
95,3.67,11.95,6.73,6.73,6.93,0.0,11.95,1,3,10,121441,1.31483,103.7646
96,7.9,9.5,6.87,6.87,7.03,0.0,9.5,1,4,18,530108,1.35288,103.8905
97,21.02,10.98,7.22,7.22,7.4,0.0,10.98,0,3,10,530682,1.37373,103.88552
98,3.95,5.83,7.28,7.28,7.38,0.0,5.83,1,4,10,530804,1.37115,103.89447
99,31.05,10.33,7.8,7.8,7.98,0.0,10.33,0,3,10,508913,1.37093,103.97119
100,22.15,12.18,8.17,8.17,8.38,0.0,12.18,0,3,10,540330,1.39681,103.88936
101,2.32,10.03,8.22,8.22,8.38,0.0,10.03,1,3,10,670260,1.3884,103.78793
102,0.82,4.58,8.23,8.38,8.45,9.05,13.63,2,5,10,460211,1.3256,103.93241
103,4.4,7.18,9.3,9.3,9.42,0.0,7.18,0,4,10,470631,1.33331,103.91448
104,17.32,10.93,9.58,9.58,9.77,0.0,10.93,0,4,18,330027,1.31884,103.86282
105,9.75,8.8,9.75,9.75,9.9,0.0,8.8,1,4,10,570510,1.34878,103.8497
106,18.92,8.52,10.07,10.07,10.22,0.0,8.52,0,4,25,650156,1.34836,103.74384
107,6.35,13.82,10.17,10.17,10.4,0.0,13.82,1,5,10,680623,1.39832,103.74734
108,3.8,12.12,10.23,10.23,10.43,0.0,12.12,1,5,10,121441,1.31483,103.7646
109,0.52,11.97,10.25,10.4,10.6,9.5,21.47,2,1,10,508913,1.37093,103.97119
110,0.35,8.5,10.25,10.43,10.58,11.25,19.75,3,4,10,540330,1.39681,103.88936
111,22.32,14.77,10.62,10.62,10.87,0.0,14.77,0,3,10,670260,1.3884,103.78793
112,6.73,10.6,10.73,10.73,10.92,0.0,10.6,1,4,8,460211,1.3256,103.93241
113,18.93,11.67,11.05,11.05,11.25,0.0,11.67,0,3,10,470631,1.33331,103.91448
114,3.6,9.77,11.12,11.12,11.27,0.0,9.77,1,4,8,330027,1.31884,103.86282
115,3.32,8.98,11.17,11.25,11.4,4.73,13.72,2,5,10,570510,1.34878,103.8497
116,0.38,13.15,11.17,11.27,11.48,6.05,19.2,3,5,10,650156,1.34836,103.74384
117,20.1,12.42,11.5,11.5,11.72,0.0,12.42,0,3,25,680623,1.39832,103.74734
118,6.42,11.22,11.62,11.62,11.8,0.0,11.22,1,3,10,121441,1.31483,103.7646
119,11.05,10.58,11.8,11.8,11.97,0.0,10.58,1,4,8,530108,1.35288,103.8905
120,17.62,11.15,12.08,12.08,12.28,0.0,11.15,0,4,8,530682,1.37373,103.88552
121,35.72,9.87,12.68,12.68,12.85,0.0,9.87,0,5,10,530804,1.37115,103.89447
122,38.07,11.67,13.32,13.32,13.52,0.0,11.67,0,4,25,508913,1.37093,103.97119
123,27.13,12.25,13.77,13.77,13.98,0.0,12.25,0,5,10,540330,1.39681,103.88936
124,23.22,7.75,14.17,14.17,14.28,0.0,7.75,0,4,8,670260,1.3884,103.78793
125,16.03,11.28,14.43,14.43,14.62,0.0,11.28,0,3,10,460211,1.3256,103.93241
126,23.2,9.35,14.82,14.82,14.97,0.0,9.35,0,5,10,470631,1.33331,103.91448
127,1.52,11.47,14.83,14.83,15.03,0.0,11.47,1,4,18,330027,1.31884,103.86282
128,39.47,9.35,15.5,15.5,15.65,0.0,9.35,0,5,10,570510,1.34878,103.8497
129,20.73,11.27,15.85,15.85,16.03,0.0,11.27,0,3,10,650156,1.34836,103.74384
130,2.38,8.82,15.88,15.88,16.03,0.0,8.82,1,4,10,680623,1.39832,103.74734
131,2.32,12.65,15.92,16.03,16.23,6.52,19.17,2,4,10,121441,1.31483,103.7646
132,3.12,9.43,16.97,16.97,17.13,0.0,9.43,0,4,10,530108,1.35288,103.8905
133,4.62,10.97,17.05,17.05,17.23,0.0,10.97,1,3,8,530682,1.37373,103.88552
134,2.1,10.65,17.08,17.13,17.3,2.72,13.37,2,3,25,530804,1.37115,103.89447
135,3.68,9.15,17.15,17.23,17.38,5.17,14.32,2,3,25,508913,1.37093,103.97119
136,10.22,11.9,17.32,17.32,17.52,0.0,11.9,1,4,10,540330,1.39681,103.88936
137,12.1,9.03,17.52,17.52,17.67,0.0,9.03,0,4,10,670260,1.3884,103.78793
138,9.33,10.27,17.67,17.67,17.85,0.0,10.27,0,3,18,460211,1.3256,103.93241
139,3.2,12.5,17.73,17.73,17.93,0.0,12.5,1,4,10,470631,1.33331,103.91448
140,10.13,7.4,17.9,17.9,18.02,0.0,7.4,1,5,10,330027,1.31884,103.86282
141,0.87,11.22,17.92,17.93,18.12,1.5,12.72,2,4,10,570510,1.34878,103.8497
142,1.42,8.7,17.93,18.02,18.17,5.12,13.82,3,4,10,650156,1.34836,103.74384
143,13.7,10.13,18.17,18.17,18.33,0.0,10.13,1,3,10,680623,1.39832,103.74734
144,8.68,12.62,18.3,18.3,18.52,0.0,12.62,1,4,8,121441,1.31483,103.7646
145,19.02,13.87,18.62,18.62,18.85,0.0,13.87,0,4,18,508913,1.37093,103.97119
146,8.85,10.8,18.77,18.77,18.95,0.0,10.8,1,4,10,540330,1.39681,103.88936
147,39.6,9.42,19.43,19.43,19.58,0.0,9.42,0,4,10,670260,1.3884,103.78793
148,14.15,7.37,19.67,19.67,19.78,0.0,7.37,0,4,8,460211,1.3256,103.93241
149,9.27,6.25,19.82,19.82,19.93,0.0,6.25,0,4,10,470631,1.33331,103.91448
150,23.13,9.87,20.2,20.2,20.37,0.0,9.87,0,5,10,330027,1.31884,103.86282
151,5.38,10.98,20.3,20.3,20.48,0.0,10.98,1,4,10,570510,1.34878,103.8497
152,48.82,10.5,21.12,21.12,21.28,0.0,10.5,0,5,10,650156,1.34836,103.74384
153,3.45,8.87,21.17,21.17,21.32,0.0,8.87,1,4,10,680623,1.39832,103.74734
154,20.58,8.22,21.52,21.52,21.65,0.0,8.22,0,4,8,121441,1.31483,103.7646
155,3.58,10.8,21.57,21.57,21.75,0.0,10.8,1,4,8,530108,1.35288,103.8905
156,3.12,12.35,21.62,21.65,21.85,1.52,13.87,2,5,10,530682,1.37373,103.88552
157,3.13,9.68,21.67,21.75,21.92,4.55,14.23,2,3,10,530804,1.37115,103.89447
158,3.95,8.17,21.73,21.85,21.98,6.78,14.95,3,4,18,508913,1.37093,103.97119
159,11.25,8.83,21.93,21.93,22.08,0.0,8.83,1,5,10,540330,1.39681,103.88936
160,15.42,11.75,22.18,22.18,22.38,0.0,11.75,0,3,8,670260,1.3884,103.78793
161,10.68,8.83,22.37,22.37,22.52,0.0,8.83,1,4,10,460211,1.3256,103.93241
162,2.02,11.4,22.4,22.4,22.58,0.0,11.4,1,4,10,470631,1.33331,103.91448
163,7.63,6.4,22.52,22.52,22.63,0.0,6.4,1,5,10,330027,1.31884,103.86282
164,3.52,9.27,23.58,23.58,23.73,0.0,9.27,0,5,10,570510,1.34878,103.8497
165,17.27,9.38,23.87,23.87,0.03,0.0,9.38,0,5,8,650156,1.34836,103.74384
166,9.57,8.58,0.03,0.03,0.17,0.0,8.58,0,5,8,680623,1.39832,103.74734
167,4.35,8.13,0.1,0.1,0.23,0.0,8.13,1,4,10,121441,1.31483,103.7646
168,6.95,9.33,0.22,0.22,0.37,0.0,9.33,1,4,10,530108,1.35288,103.8905
169,37.5,9.02,0.85,0.85,1.0,0.0,9.02,0,5,10,530682,1.37373,103.88552
170,32.12,6.37,1.38,1.38,1.48,0.0,6.37,0,5,18,530804,1.37115,103.89447
171,8.37,7.35,1.52,1.52,1.63,0.0,7.35,0,4,10,508913,1.37093,103.97119
172,28.88,8.85,2.0,2.0,2.15,0.0,8.85,0,4,10,540330,1.39681,103.88936
173,0.17,11.73,2.0,2.0,2.2,0.0,11.73,1,3,10,670260,1.3884,103.78793
174,13.07,10.37,2.22,2.22,2.4,0.0,10.37,0,5,10,460211,1.3256,103.93241
175,1.33,7.52,2.23,2.23,2.37,0.0,7.52,1,4,10,470631,1.33331,103.91448
176,2.4,8.77,2.28,2.37,2.52,5.1,13.87,2,5,10,330027,1.31884,103.86282
177,8.45,9.63,2.42,2.42,2.58,0.0,9.63,1,5,8,570510,1.34878,103.8497
178,13.87,6.05,3.65,3.65,3.75,0.0,6.05,0,4,18,650156,1.34836,103.74384
179,0.77,10.2,3.67,3.67,3.83,0.0,10.2,1,3,10,680623,1.39832,103.74734
180,1.47,11.48,3.68,3.75,3.95,3.82,15.3,2,4,10,121441,1.31483,103.7646
181,23.87,10.47,4.08,4.08,4.27,0.0,10.47,0,4,10,508913,1.37093,103.97119
182,0.73,7.97,4.1,4.1,4.23,0.0,7.97,1,4,10,540330,1.39681,103.88936
183,24.42,13.05,5.5,5.5,5.72,0.0,13.05,0,4,18,670260,1.3884,103.78793
184,0.37,11.07,5.52,5.52,5.7,0.0,11.07,1,3,10,460211,1.3256,103.93241
185,22.57,11.9,5.88,5.88,6.08,0.0,11.9,0,4,10,470631,1.33331,103.91448
186,5.73,7.6,5.98,5.98,6.12,0.0,7.6,1,4,10,330027,1.31884,103.86282
187,5.42,9.02,6.08,6.08,6.23,0.75,9.75,2,4,8,570510,1.34878,103.8497
188,27.5,10.97,6.53,6.53,6.72,0.0,10.97,0,3,10,650156,1.34836,103.74384
189,18.8,13.83,6.85,6.85,7.08,0.0,13.83,0,3,8,680623,1.39832,103.74734
190,12.43,12.73,7.05,7.05,7.27,0.0,12.73,1,3,8,121441,1.31483,103.7646
191,2.97,10.43,7.1,7.1,7.28,0.0,10.43,1,5,10,530108,1.35288,103.8905
192,49.33,7.98,7.93,7.93,8.07,0.0,7.98,0,4,18,530682,1.37373,103.88552
193,5.18,9.95,8.02,8.02,8.18,0.0,9.95,1,4,10,530804,1.37115,103.89447
194,11.72,11.37,8.2,8.2,8.4,0.0,11.37,0,4,10,508913,1.37093,103.97119
195,24.33,12.53,8.62,8.62,8.82,0.0,12.53,0,4,10,540330,1.39681,103.88936
196,39.53,9.75,9.27,9.27,9.43,0.0,9.75,0,5,10,670260,1.3884,103.78793
197,24.35,8.13,9.68,9.68,9.82,0.0,8.13,0,5,10,460211,1.3256,103.93241
198,3.13,7.52,9.73,9.73,9.85,0.0,7.52,1,5,25,470631,1.33331,103.91448
199,11.2,12.3,9.92,9.92,10.12,0.0,12.3,0,3,10,330027,1.31884,103.86282
200,41.78,5.37,10.62,10.62,10.7,0.0,5.37,0,4,18,570510,1.34878,103.8497
201,15.17,4.9,10.87,10.87,10.95,0.0,4.9,0,4,10,650156,1.34836,103.74384
202,29.52,9.43,11.35,11.35,11.52,0.0,9.43,0,4,10,680623,1.39832,103.74734
203,18.6,9.13,11.67,11.67,11.82,0.0,9.13,0,5,8,121441,1.31483,103.7646
204,1.13,11.13,11.68,11.68,11.87,0.0,11.13,1,5,10,530108,1.35288,103.8905
205,6.4,9.4,11.8,11.82,11.98,1.6,11.0,2,5,10,530682,1.37373,103.88552
206,4.5,9.78,11.87,11.87,12.03,0.22,10.0,2,3,10,530804,1.37115,103.89447
207,28.93,10.82,12.35,12.35,12.53,0.0,10.82,0,3,10,508913,1.37093,103.97119
208,2.83,11.52,12.4,12.4,12.58,0.0,11.52,1,3,10,540330,1.39681,103.88936
209,7.23,9.68,12.52,12.53,12.7,0.75,10.43,2,3,10,670260,1.3884,103.78793
210,7.55,10.62,12.65,12.65,12.82,0.0,10.62,1,5,10,460211,1.3256,103.93241
211,3.87,8.83,12.72,12.72,12.85,0.0,8.83,1,4,25,470631,1.33331,103.91448
212,1.73,14.42,12.73,12.82,13.07,5.02,19.43,2,5,8,330027,1.31884,103.86282
213,14.13,6.4,12.97,12.97,13.08,0.0,6.4,1,5,10,570510,1.34878,103.8497
214,8.15,9.12,13.12,13.12,13.27,0.0,9.12,0,5,18,650156,1.34836,103.74384
215,43.68,8.17,13.83,13.83,13.97,0.0,8.17,0,5,10,680623,1.39832,103.74734
216,19.85,9.23,14.17,14.17,14.32,0.0,9.23,0,4,10,121441,1.31483,103.7646
217,1.77,10.75,14.2,14.2,14.38,0.0,10.75,1,3,10,508913,1.37093,103.97119
218,9.88,14.48,14.37,14.37,14.6,0.0,14.48,1,4,10,540330,1.39681,103.88936
219,30.85,11.67,14.88,14.88,15.07,0.0,11.67,0,3,10,670260,1.3884,103.78793
220,2.57,6.97,14.92,14.92,15.03,0.0,6.97,1,5,10,460211,1.3256,103.93241
221,7.88,8.95,15.05,15.05,15.2,0.0,8.95,1,4,10,470631,1.33331,103.91448
222,45.4,9.68,15.8,15.8,15.97,0.0,9.68,0,5,18,330027,1.31884,103.86282
223,22.58,11.1,16.18,16.18,16.37,0.0,11.1,0,5,10,570510,1.34878,103.8497
224,9.1,9.8,16.33,16.33,16.5,0.0,9.8,1,4,10,650156,1.34836,103.74384
225,9.38,11.33,16.48,16.48,16.68,0.0,11.33,1,5,10,680623,1.39832,103.74734
226,7.92,9.5,16.62,16.62,16.78,0.0,9.5,1,4,25,121441,1.31483,103.7646
227,7.3,8.0,16.75,16.75,16.88,0.0,8.0,1,5,10,530108,1.35288,103.8905
228,18.93,11.37,17.07,17.07,17.25,0.0,11.37,0,4,18,530682,1.37373,103.88552
229,41.83,11.12,17.75,17.75,17.95,0.0,11.12,0,4,8,530804,1.37115,103.89447
230,1.88,7.73,17.78,17.78,17.92,0.0,7.73,1,5,10,508913,1.37093,103.97119
231,9.52,9.68,17.95,17.95,18.12,0.0,9.68,0,5,8,540330,1.39681,103.88936
232,12.8,11.4,18.17,18.17,18.35,0.0,11.4,0,5,25,670260,1.3884,103.78793
233,9.7,9.48,18.32,18.32,18.48,0.0,9.48,1,5,10,460211,1.3256,103.93241
234,5.83,9.08,18.42,18.42,18.57,0.0,9.08,1,4,8,470631,1.33331,103.91448
235,5.68,9.9,18.52,18.52,18.68,0.0,9.9,1,4,10,330027,1.31884,103.86282
236,2.42,9.53,18.55,18.57,18.73,1.0,10.52,2,3,10,570510,1.34878,103.8497
237,28.4,11.9,19.03,19.03,19.23,0.0,11.9,0,4,10,650156,1.34836,103.74384
238,48.18,7.28,19.83,19.83,19.95,0.0,7.28,0,5,8,680623,1.39832,103.74734
239,13.52,6.67,20.05,20.05,20.17,0.0,6.67,0,4,10,121441,1.31483,103.7646
240,17.97,10.65,20.35,20.35,20.53,0.0,10.65,0,5,10,530108,1.35288,103.8905
241,38.43,10.25,21.0,21.0,21.17,0.0,10.25,0,5,10,530682,1.37373,103.88552
242,19.73,8.33,22.33,22.33,22.47,0.0,8.33,0,4,8,530804,1.37115,103.89447
243,30.22,11.6,22.83,22.83,23.02,0.0,11.6,0,3,10,508913,1.37093,103.97119
244,3.45,13.35,22.88,22.88,23.12,0.0,13.35,1,5,8,540330,1.39681,103.88936
245,9.23,7.87,23.03,23.03,23.17,0.0,7.87,1,5,18,670260,1.3884,103.78793
246,2.08,9.47,23.07,23.12,23.27,2.05,11.52,2,4,10,460211,1.3256,103.93241
247,15.33,8.77,23.33,23.33,23.48,0.0,8.77,0,4,10,470631,1.33331,103.91448
248,1.3,8.98,0.35,0.35,0.5,0.0,8.98,0,5,25,330027,1.31884,103.86282
249,12.5,10.22,0.57,0.57,0.73,0.0,10.22,0,3,10,570510,1.34878,103.8497
250,5.23,11.53,0.65,0.65,0.83,0.0,11.53,1,4,10,650156,1.34836,103.74384
251,1.52,5.87,0.67,0.73,0.83,3.48,9.33,2,5,18,680623,1.39832,103.74734
252,0.85,11.65,0.68,0.83,1.02,8.5,20.13,3,2,10,121441,1.31483,103.7646
253,2.87,10.12,0.73,0.83,1.02,6.3,16.43,3,3,10,508913,1.37093,103.97119
254,30.43,9.47,1.25,1.25,1.4,0.0,9.47,0,5,10,540330,1.39681,103.88936
255,19.28,9.98,1.57,1.57,1.73,0.0,9.98,0,4,10,670260,1.3884,103.78793
256,4.13,8.05,1.63,1.63,1.77,0.0,8.05,1,5,10,460211,1.3256,103.93241
257,1.38,9.17,1.65,1.73,1.88,4.47,13.63,2,4,10,470631,1.33331,103.91448
258,6.52,12.07,1.77,1.77,1.97,0.15,12.22,2,3,10,330027,1.31884,103.86282
259,20.65,10.78,2.1,2.1,2.28,0.0,10.78,0,3,10,570510,1.34878,103.8497
260,2.45,10.2,2.15,2.15,2.32,0.0,10.2,1,4,10,650156,1.34836,103.74384
261,26.2,11.57,2.58,2.58,2.78,0.0,11.57,0,4,8,680623,1.39832,103.74734
262,34.27,11.63,3.15,3.15,3.35,0.0,11.63,0,4,10,121441,1.31483,103.7646
263,23.88,11.27,3.55,3.55,3.75,0.0,11.27,0,3,10,530108,1.35288,103.8905
264,5.9,9.33,3.65,3.65,3.82,0.0,9.33,1,4,10,530682,1.37373,103.88552
265,2.57,9.07,3.7,3.75,3.9,2.78,11.83,2,3,10,530804,1.37115,103.89447
266,1.03,9.27,3.72,3.82,3.97,5.73,15.0,3,4,10,508913,1.37093,103.97119
267,57.82,13.32,4.68,4.68,4.9,0.0,13.32,0,4,18,540330,1.39681,103.88936
268,10.32,10.48,4.85,4.85,5.02,0.0,10.48,1,3,25,670260,1.3884,103.78793
269,16.72,8.07,5.13,5.13,5.27,0.0,8.07,0,5,10,460211,1.3256,103.93241
270,6.22,8.05,5.23,5.23,5.37,0.0,8.05,1,5,10,470631,1.33331,103.91448
271,1.93,11.57,5.27,5.27,5.45,0.0,11.57,1,5,8,330027,1.31884,103.86282
272,1.05,14.02,5.28,5.37,5.6,5.07,19.08,2,4,10,570510,1.34878,103.8497
273,43.75,10.27,6.02,6.02,6.18,0.0,10.27,0,5,18,650156,1.34836,103.74384
274,11.85,10.65,7.2,7.2,7.38,0.0,10.65,0,4,10,680623,1.39832,103.74734
275,4.03,12.57,7.27,7.27,7.48,0.0,12.57,1,3,10,121441,1.31483,103.7646
276,0.55,7.03,7.28,7.38,7.5,6.07,13.1,2,3,10,530108,1.35288,103.8905
277,2.17,10.4,7.32,7.48,7.65,9.83,20.23,3,1,10,530682,1.37373,103.88552
278,42.4,9.7,8.03,8.03,8.18,0.0,9.7,0,4,18,530804,1.37115,103.89447
279,14.75,11.57,8.27,8.27,8.47,0.0,11.57,0,4,10,508913,1.37093,103.97119
280,0.87,7.02,8.28,8.28,8.4,0.0,7.02,1,5,10,540330,1.39681,103.88936
281,3.6,11.02,8.35,8.4,8.58,3.42,14.43,2,5,10,670260,1.3884,103.78793
282,4.53,11.32,8.42,8.47,8.65,2.57,13.9,2,4,10,460211,1.3256,103.93241
283,14.43,9.48,8.67,8.67,8.82,0.0,9.48,0,5,10,470631,1.33331,103.91448
