customer,interarrival_time,service_time,arrival_time,service_start,service_end,wait_time,process_duration,queue_length,rating,price_paid,category,postal_code,lat,long
43,1:42,5:31,19:09,19:39,19:44,29:36:00,35:07:00,4,2,4.8,H,570510,1.34878,103.8497
44,21:38,7:44,19:31,19:44,19:52,13:29,21:13,3,2,4.8,H,650156,1.34836,103.74384
45,3:49,10:44,19:35,19:52,20:03,17:25,28:09:00,4,1,4.8,H,680623,1.39832,103.74734
46,1:28,12:16,19:36,20:00,20:12,23:16,35:32:00,5,3,4.8,H,121441,1.31483,103.7646
47,1:30,6:10,19:38,20:03,20:09,25:10:00,31:20:00,6,1,22.8,PWBH,530108,1.35288,103.8905
48,18:33,10:15,19:56,20:09,20:19,12:47,23:03,4,3,4.8,H,530682,1.37373,103.88552
49,20:44,8:21,20:17,20:17,20:25,0:00,8:21,1,4,4.8,H,530804,1.37115,103.89447
50,6:31,11:52,20:24,20:24,20:35,0:00,11:52,1,4,12.8,CWB,508913,1.37093,103.97119
51,36:38:00,13:49,21:00,21:00,21:14,0:00,13:49,0,5,4.8,H,540330,1.39681,103.88936
52,2:05,7:04,21:02,21:02,21:09,0:00,7:04,1,4,4.8,H,670260,1.3884,103.78793
53,5:13,6:55,21:07,21:09,21:16,1:51,8:45,2,5,38,RWBH,460211,1.3256,103.93241
54,50:59:00,7:06,21:58,21:58,22:06,0:00,7:06,0,5,12.8,CWB,470631,1.33331,103.91448
55,16:08,8:56,22:15,22:15,22:24,0:00,8:56,0,4,4.8,H,330027,1.31884,103.86282
56,3:17,11:43,22:18,22:18,22:30,0:00,11:43,1,4,4.8,H,570510,1.34878,103.8497
57,27:02:00,11:38,22:45,22:45,22:57,0:00,11:38,0,4,12.8,CWB,650156,1.34836,103.74384
58,16:32,10:57,23:01,23:01,23:12,0:00,10:57,0,3,12.8,CWB,680623,1.39832,103.74734
59,0:38,6:25,23:02,23:02,23:08,0:00,6:25,1,4,4.8,H,121441,1.31483,103.7646
60,3:47,7:58,23:06,23:08,23:16,2:37,10:35,2,5,22.8,PWBH,530108,1.35288,103.8905
61,17:19,10:01,23:23,23:23,23:33,0:00,10:01,0,4,4.8,H,530682,1.37373,103.88552
62,11:14,6:44,23:34,23:34,23:41,0:00,6:44,0,5,4.8,H,530804,1.37115,103.89447
63,10:28,13:00,23:45,23:45,23:58,0:00,13:00,0,4,4.8,H,508913,1.37093,103.97119
64,5:09,8:46,23:50,23:50,23:59,0:00,8:46,1,4,4.8,H,540330,1.39681,103.88936
65,0:16,13:54,23:50,23:58,0:12,7:35,21:29,2,2,4.8,H,670260,1.3884,103.78793
66,10:08,8:20,0:00,0:00,0:09,0:00,8:20,1,5,4.8,H,460211,1.3256,103.93241
67,9:22,14:28,0:10,0:10,0:24,0:00,14:28,1,5,4.8,H,470631,1.33331,103.91448
68,1:47,11:10,0:12,0:12,0:23,0:13,11:23,2,5,4.8,H,330027,1.31884,103.86282
69,12:12,9:04,0:24,0:24,0:33,0:00,9:04,1,4,4.8,H,570510,1.34878,103.8497
70,3:01,8:16,0:27,0:27,0:35,0:00,8:16,1,5,12.8,CWB,650156,1.34836,103.74384
71,6:24,10:36,0:33,0:33,0:44,0:00,10:36,1,4,4.8,H,680623,1.39832,103.74734
72,3:28,5:55,0:37,0:37,0:43,0:00,5:55,1,4,38,RWBH,121441,1.31483,103.7646
73,4:31,10:14,0:41,0:43,0:53,1:23,11:37,2,4,4.8,H,508913,1.37093,103.97119
74,0:29,8:02,0:42,0:44,0:52,2:07,10:09,3,5,4.8,H,540330,1.39681,103.88936
75,30:40:00,7:08,1:12,1:12,1:19,0:00,7:08,0,4,4.8,H,670260,1.3884,103.78793
76,0:39,9:48,1:13,1:13,1:23,0:00,9:48,1,5,4.8,H,460211,1.3256,103.93241
77,19:07,13:46,1:32,1:32,1:46,0:00,13:46,0,5,4.8,H,470631,1.33331,103.91448
78,46:11:00,7:58,2:18,2:18,2:26,0:00,7:58,0,5,4.8,H,330027,1.31884,103.86282
79,52:54:00,9:07,3:11,3:11,3:20,0:00,9:07,0,5,4.8,H,570510,1.34878,103.8497
80,1:37,10:51,3:13,3:13,3:24,0:00,10:51,1,5,4.8,H,650156,1.34836,103.74384
81,3:43,11:25,3:17,3:20,3:32,3:47,15:12,2,5,12.8,CWB,680623,1.39832,103.74734
82,7:44,9:45,3:24,3:24,3:34,0:00,9:45,1,5,4.8,H,121441,1.31483,103.7646
83,20:11,9:10,3:44,3:44,3:54,0:00,9:10,0,4,4.8,H,530108,1.35288,103.8905
84,7:05,6:24,3:52,3:52,3:58,0:00,6:24,1,4,4.8,H,530682,1.37373,103.88552
85,25:13:00,13:43,4:17,4:17,4:30,0:00,13:43,0,5,4.8,H,530804,1.37115,103.89447
86,9:33,10:21,4:26,4:26,4:37,0:00,10:21,1,3,4.8,H,508913,1.37093,103.97119
87,0:14,8:50,4:27,4:30,4:39,3:56,12:46,2,5,4.8,H,540330,1.39681,103.88936
88,10:22,9:58,4:37,4:37,4:47,0:00,9:58,1,5,4.8,H,670260,1.3884,103.78793
89,18:35,8:08,4:55,4:55,5:04,0:00,8:08,0,4,4.8,H,460211,1.3256,103.93241
90,23:50,9:00,5:19,5:19,5:28,0:00,9:00,0,4,4.8,H,470631,1.33331,103.91448
91,40:05:00,9:40,5:59,5:59,6:09,0:00,9:40,0,5,12.8,CWB,330027,1.31884,103.86282
92,3:00,12:05,6:02,6:02,6:14,0:00,12:05,1,5,4.8,H,570510,1.34878,103.8497
93,13:22,11:53,6:16,6:16,6:28,0:00,11:53,0,4,4.8,H,650156,1.34836,103.74384
94,25:00:00,10:32,6:41,6:41,6:51,0:00,10:32,0,4,12.8,CWB,680623,1.39832,103.74734
95,3:40,11:57,6:44,6:44,6:56,0:00,11:57,1,3,4.8,H,121441,1.31483,103.7646
96,7:54,9:30,6:52,6:52,7:02,0:00,9:30,1,4,38,RWBH,530108,1.35288,103.8905
97,21:01,10:59,7:13,7:13,7:24,0:00,10:59,0,3,4.8,H,530682,1.37373,103.88552
98,3:57,5:50,7:17,7:17,7:23,0:00,5:50,1,4,22.8,PWBH,530804,1.37115,103.89447
99,31:03:00,10:20,7:48,7:48,7:59,0:00,10:20,0,3,22.8,PWBH,508913,1.37093,103.97119
100,22:09,12:11,8:10,8:10,8:23,0:00,12:11,0,3,4.8,H,540330,1.39681,103.88936
101,2:19,10:02,8:13,8:13,8:23,0:00,10:02,1,3,4.8,H,670260,1.3884,103.78793
102,0:49,4:35,8:14,8:23,8:27,9:03,13:38,2,5,4.8,H,460211,1.3256,103.93241
103,4:24,7:11,9:18,9:18,9:25,0:00,7:11,0,4,4.8,H,470631,1.33331,103.91448
104,17:19,10:56,9:35,9:35,9:46,0:00,10:56,0,4,22.8,PWBH,330027,1.31884,103.86282
105,9:45,8:48,9:45,9:45,9:54,0:00,8:48,1,4,4.8,H,570510,1.34878,103.8497
106,18:55,8:31,10:04,10:04,10:13,0:00,8:31,0,4,22.8,PWBH,650156,1.34836,103.74384
107,6:21,13:49,10:10,10:10,10:24,0:00,13:49,1,5,12.8,CWB,680623,1.39832,103.74734
108,3:48,12:07,10:14,10:14,10:26,0:00,12:07,1,5,4.8,H,121441,1.31483,103.7646
109,0:31,11:58,10:15,10:24,10:36,9:30,21:28,2,1,4.8,H,508913,1.37093,103.97119
110,0:21,8:30,10:15,10:26,10:35,11:15,19:45,3,4,4.8,H,540330,1.39681,103.88936
111,22:19,14:46,10:37,10:37,10:52,0:00,14:46,0,3,4.8,H,670260,1.3884,103.78793
112,6:44,10:36,10:44,10:44,10:55,0:00,10:36,1,4,22.8,PWBH,460211,1.3256,103.93241
113,18:56,11:40,11:03,11:03,11:15,0:00,11:40,0,3,4.8,H,470631,1.33331,103.91448
114,3:36,9:46,11:07,11:07,11:16,0:00,9:46,1,4,4.8,H,330027,1.31884,103.86282
115,3:19,8:59,11:10,11:15,11:24,4:44,13:43,2,5,38,RWBH,570510,1.34878,103.8497
116,0:23,13:09,11:10,11:16,11:29,6:03,19:12,3,5,22.8,PWBH,650156,1.34836,103.74384
117,20:06,12:25,11:30,11:30,11:43,0:00,12:25,0,3,4.8,H,680623,1.39832,103.74734
118,6:25,11:13,11:37,11:37,11:48,0:00,11:13,1,3,4.8,H,121441,1.31483,103.7646
119,11:03,10:35,11:48,11:48,11:58,0:00,10:35,1,4,4.8,H,530108,1.35288,103.8905
120,17:37,11:09,12:05,12:05,12:17,0:00,11:09,0,4,38,RWBH,530682,1.37373,103.88552
121,35:43:00,9:52,12:41,12:41,12:51,0:00,9:52,0,5,4.8,H,530804,1.37115,103.89447
122,38:04:00,11:40,13:19,13:19,13:31,0:00,11:40,0,4,4.8,H,508913,1.37093,103.97119
123,27:08:00,12:15,13:46,13:46,13:59,0:00,12:15,0,5,4.8,H,540330,1.39681,103.88936
124,23:13,7:45,14:10,14:10,14:17,0:00,7:45,0,4,4.8,H,670260,1.3884,103.78793
125,16:02,11:17,14:26,14:26,14:37,0:00,11:17,0,3,12.8,CWB,460211,1.3256,103.93241
126,23:12,9:21,14:49,14:49,14:58,0:00,9:21,0,5,4.8,H,470631,1.33331,103.91448
127,1:31,11:28,14:50,14:50,15:02,0:00,11:28,1,4,4.8,H,330027,1.31884,103.86282
128,39:28:00,9:21,15:30,15:30,15:39,0:00,9:21,0,5,4.8,H,570510,1.34878,103.8497
129,20:44,11:16,15:51,15:51,16:02,0:00,11:16,0,3,4.8,H,650156,1.34836,103.74384
130,2:23,8:49,15:53,15:53,16:02,0:00,8:49,1,4,4.8,H,680623,1.39832,103.74734
131,2:19,12:39,15:55,16:02,16:14,6:31,19:10,2,4,4.8,H,121441,1.31483,103.7646
132,3:07,9:26,16:58,16:58,17:08,0:00,9:26,0,4,4.8,H,530108,1.35288,103.8905
133,4:37,10:58,17:03,17:03,17:14,0:00,10:58,1,3,22.8,PWBH,530682,1.37373,103.88552
134,2:06,10:39,17:05,17:08,17:18,2:43,13:22,2,3,4.8,H,530804,1.37115,103.89447
135,3:41,9:09,17:09,17:14,17:23,5:10,14:19,2,3,4.8,H,508913,1.37093,103.97119
136,10:13,11:54,17:19,17:19,17:31,0:00,11:54,1,4,4.8,H,540330,1.39681,103.88936
137,12:06,9:02,17:31,17:31,17:40,0:00,9:02,0,4,4.8,H,670260,1.3884,103.78793
138,9:20,10:16,17:40,17:40,17:51,0:00,10:16,0,3,12.8,CWB,460211,1.3256,103.93241
139,3:12,12:30,17:44,17:44,17:56,0:00,12:30,1,4,4.8,H,470631,1.33331,103.91448
140,10:08,7:24,17:54,17:54,18:01,0:00,7:24,1,5,4.8,H,330027,1.31884,103.86282
141,0:52,11:13,17:55,17:56,18:07,1:30,12:43,2,4,22.8,PWBH,570510,1.34878,103.8497
142,1:25,8:42,17:56,18:01,18:10,5:07,13:49,3,4,4.8,H,650156,1.34836,103.74384
143,13:42,10:08,18:10,18:10,18:20,0:00,10:08,1,3,22.8,PWBH,680623,1.39832,103.74734
144,8:41,12:37,18:18,18:18,18:31,0:00,12:37,1,4,38,RWBH,121441,1.31483,103.7646
145,19:01,13:52,18:37,18:37,18:51,0:00,13:52,0,4,22.8,PWBH,508913,1.37093,103.97119
146,8:51,10:48,18:46,18:46,18:57,0:00,10:48,1,4,4.8,H,540330,1.39681,103.88936
147,39:36:00,9:25,19:26,19:26,19:35,0:00,9:25,0,4,4.8,H,670260,1.3884,103.78793
148,14:09,7:22,19:40,19:40,19:47,0:00,7:22,0,4,4.8,H,460211,1.3256,103.93241
149,9:16,6:15,19:49,19:49,19:56,0:00,6:15,0,4,22.8,PWBH,470631,1.33331,103.91448
150,23:08,9:52,20:12,20:12,20:22,0:00,9:52,0,5,4.8,H,330027,1.31884,103.86282
151,5:23,10:59,20:18,20:18,20:29,0:00,10:59,1,4,4.8,H,570510,1.34878,103.8497
152,48:49:00,10:30,21:07,21:07,21:17,0:00,10:30,0,5,38,RWBH,650156,1.34836,103.74384
153,3:27,8:52,21:10,21:10,21:19,0:00,8:52,1,4,4.8,H,680623,1.39832,103.74734
154,20:35,8:13,21:31,21:31,21:39,0:00,8:13,0,4,4.8,H,121441,1.31483,103.7646
155,3:35,10:48,21:34,21:34,21:45,0:00,10:48,1,4,22.8,PWBH,530108,1.35288,103.8905
156,3:07,12:21,21:37,21:39,21:51,1:31,13:52,2,5,22.8,PWBH,530682,1.37373,103.88552
157,3:08,9:41,21:40,21:45,21:55,4:33,14:14,2,3,4.8,H,530804,1.37115,103.89447
158,3:57,8:10,21:44,21:51,21:59,6:47,14:57,3,4,4.8,H,508913,1.37093,103.97119
159,11:15,8:50,21:56,21:56,22:05,0:00,8:50,1,5,4.8,H,540330,1.39681,103.88936
160,15:25,11:45,22:11,22:11,22:23,0:00,11:45,0,3,4.8,H,670260,1.3884,103.78793
161,10:41,8:50,22:22,22:22,22:31,0:00,8:50,1,4,4.8,H,460211,1.3256,103.93241
162,2:01,11:24,22:24,22:24,22:35,0:00,11:24,1,4,4.8,H,470631,1.33331,103.91448
163,7:38,6:24,22:31,22:31,22:38,0:00,6:24,1,5,4.8,H,330027,1.31884,103.86282
164,3:31,9:16,23:35,23:35,23:44,0:00,9:16,0,5,4.8,H,570510,1.34878,103.8497
165,17:16,9:23,23:52,23:52,0:02,0:00,9:23,0,5,4.8,H,650156,1.34836,103.74384
166,9:34,8:35,0:02,0:02,0:10,0:00,8:35,0,5,4.8,H,680623,1.39832,103.74734
167,4:21,8:08,0:06,0:06,0:14,0:00,8:08,1,4,4.8,H,121441,1.31483,103.7646
168,6:57,9:20,0:13,0:13,0:22,0:00,9:20,1,4,4.8,H,530108,1.35288,103.8905
169,37:30:00,9:01,0:51,0:51,1:00,0:00,9:01,0,5,4.8,H,530682,1.37373,103.88552
170,32:07:00,6:22,1:23,1:23,1:29,0:00,6:22,0,5,4.8,H,530804,1.37115,103.89447
171,8:22,7:21,1:31,1:31,1:38,0:00,7:21,0,4,4.8,H,508913,1.37093,103.97119
172,28:53:00,8:51,2:00,2:00,2:09,0:00,8:51,0,4,4.8,H,540330,1.39681,103.88936
173,0:10,11:44,2:00,2:00,2:12,0:00,11:44,1,3,4.8,H,670260,1.3884,103.78793
174,13:04,10:22,2:13,2:13,2:24,0:00,10:22,0,5,4.8,H,460211,1.3256,103.93241
175,1:20,7:31,2:14,2:14,2:22,0:00,7:31,1,4,4.8,H,470631,1.33331,103.91448
176,2:24,8:46,2:17,2:22,2:31,5:06,13:52,2,5,12.8,CWB,330027,1.31884,103.86282
177,8:27,9:38,2:25,2:25,2:35,0:00,9:38,1,5,22.8,PWBH,570510,1.34878,103.8497
178,13:52,6:03,3:39,3:39,3:45,0:00,6:03,0,4,12.8,CWB,650156,1.34836,103.74384
179,0:46,10:12,3:40,3:40,3:50,0:00,10:12,1,3,4.8,H,680623,1.39832,103.74734
180,1:28,11:29,3:41,3:45,3:57,3:49,15:18,2,4,12.8,CWB,121441,1.31483,103.7646
181,23:52,10:28,4:05,4:05,4:16,0:00,10:28,0,4,12.8,CWB,508913,1.37093,103.97119
182,0:44,7:58,4:06,4:06,4:14,0:00,7:58,1,4,4.8,H,540330,1.39681,103.88936
183,24:25:00,13:03,5:30,5:30,5:43,0:00,13:03,0,4,4.8,H,670260,1.3884,103.78793
184,0:22,11:04,5:31,5:31,5:42,0:00,11:04,1,3,4.8,H,460211,1.3256,103.93241
185,22:34,11:54,5:53,5:53,6:05,0:00,11:54,0,4,4.8,H,470631,1.33331,103.91448
186,5:44,7:36,5:59,5:59,6:07,0:00,7:36,1,4,4.8,H,330027,1.31884,103.86282
187,5:25,9:01,6:05,6:05,6:14,0:45,9:45,2,4,4.8,H,570510,1.34878,103.8497
188,27:30:00,10:58,6:32,6:32,6:43,0:00,10:58,0,3,4.8,H,650156,1.34836,103.74384
189,18:48,13:50,6:51,6:51,7:05,0:00,13:50,0,3,4.8,H,680623,1.39832,103.74734
190,12:26,12:44,7:03,7:03,7:16,0:00,12:44,1,3,4.8,H,121441,1.31483,103.7646
191,2:58,10:26,7:06,7:06,7:17,0:00,10:26,1,5,4.8,H,530108,1.35288,103.8905
192,49:20:00,7:59,7:56,7:56,8:04,0:00,7:59,0,4,38,RWBH,530682,1.37373,103.88552
193,5:11,9:57,8:01,8:01,8:11,0:00,9:57,1,4,4.8,H,530804,1.37115,103.89447
194,11:43,11:22,8:12,8:12,8:24,0:00,11:22,0,4,4.8,H,508913,1.37093,103.97119
195,24:20:00,12:32,8:37,8:37,8:49,0:00,12:32,0,4,4.8,H,540330,1.39681,103.88936
196,39:32:00,9:45,9:16,9:16,9:26,0:00,9:45,0,5,4.8,H,670260,1.3884,103.78793
197,24:21:00,8:08,9:41,9:41,9:49,0:00,8:08,0,5,4.8,H,460211,1.3256,103.93241
198,3:08,7:31,9:44,9:44,9:51,0:00,7:31,1,5,4.8,H,470631,1.33331,103.91448
199,11:12,12:18,9:55,9:55,10:07,0:00,12:18,0,3,4.8,H,330027,1.31884,103.86282
200,41:47:00,5:22,10:37,10:37,10:42,0:00,5:22,0,4,4.8,H,570510,1.34878,103.8497
201,15:10,4:54,10:52,10:52,10:57,0:00,4:54,0,4,4.8,H,650156,1.34836,103.74384
202,29:31:00,9:26,11:21,11:21,11:31,0:00,9:26,0,4,38,RWBH,680623,1.39832,103.74734
203,18:36,9:08,11:40,11:40,11:49,0:00,9:08,0,5,22.8,PWBH,121441,1.31483,103.7646
204,1:08,11:08,11:41,11:41,11:52,0:00,11:08,1,5,4.8,H,530108,1.35288,103.8905
205,6:24,9:24,11:48,11:49,11:59,1:36,11:00,2,5,4.8,H,530682,1.37373,103.88552
206,4:30,9:47,11:52,11:52,12:02,0:13,10:00,2,3,4.8,H,530804,1.37115,103.89447
207,28:56:00,10:49,12:21,12:21,12:32,0:00,10:49,0,3,12.8,CWB,508913,1.37093,103.97119
208,2:50,11:31,12:24,12:24,12:35,0:00,11:31,1,3,12.8,CWB,540330,1.39681,103.88936
209,7:14,9:41,12:31,12:32,12:42,0:45,10:26,2,3,4.8,H,670260,1.3884,103.78793
210,7:33,10:37,12:39,12:39,12:49,0:00,10:37,1,5,4.8,H,460211,1.3256,103.93241
211,3:52,8:50,12:43,12:43,12:51,0:00,8:50,1,4,12.8,CWB,470631,1.33331,103.91448
212,1:44,14:25,12:44,12:49,13:04,5:01,19:26,2,5,4.8,H,330027,1.31884,103.86282
213,14:08,6:24,12:58,12:58,13:05,0:00,6:24,1,5,4.8,H,570510,1.34878,103.8497
214,8:09,9:07,13:07,13:07,13:16,0:00,9:07,0,5,4.8,H,650156,1.34836,103.74384
215,43:41:00,8:10,13:50,13:50,13:58,0:00,8:10,0,5,38,RWBH,680623,1.39832,103.74734
216,19:51,9:14,14:10,14:10,14:19,0:00,9:14,0,4,12.8,CWB,121441,1.31483,103.7646
217,1:46,10:45,14:12,14:12,14:23,0:00,10:45,1,3,38,RWBH,508913,1.37093,103.97119
218,9:53,14:29,14:22,14:22,14:36,0:00,14:29,1,4,4.8,H,540330,1.39681,103.88936
219,30:51:00,11:40,14:53,14:53,15:04,0:00,11:40,0,3,4.8,H,670260,1.3884,103.78793
220,2:34,6:58,14:55,14:55,15:02,0:00,6:58,1,5,12.8,CWB,460211,1.3256,103.93241
221,7:53,8:57,15:03,15:03,15:12,0:00,8:57,1,4,4.8,H,470631,1.33331,103.91448
222,45:24:00,9:41,15:48,15:48,15:58,0:00,9:41,0,5,4.8,H,330027,1.31884,103.86282
223,22:35,11:06,16:11,16:11,16:22,0:00,11:06,0,5,4.8,H,570510,1.34878,103.8497
224,9:06,9:48,16:20,16:20,16:30,0:00,9:48,1,4,4.8,H,650156,1.34836,103.74384
225,9:23,11:20,16:29,16:29,16:41,0:00,11:20,1,5,4.8,H,680623,1.39832,103.74734
226,7:55,9:30,16:37,16:37,16:47,0:00,9:30,1,4,4.8,H,121441,1.31483,103.7646
227,7:18,8:00,16:45,16:45,16:53,0:00,8:00,1,5,38,RWBH,530108,1.35288,103.8905
228,18:56,11:22,17:04,17:04,17:15,0:00,11:22,0,4,4.8,H,530682,1.37373,103.88552
229,41:50:00,11:07,17:45,17:45,17:57,0:00,11:07,0,4,4.8,H,530804,1.37115,103.89447
230,1:53,7:44,17:47,17:47,17:55,0:00,7:44,1,5,4.8,H,508913,1.37093,103.97119
231,9:31,9:41,17:57,17:57,18:07,0:00,9:41,0,5,22.8,PWBH,540330,1.39681,103.88936
232,12:48,11:24,18:10,18:10,18:21,0:00,11:24,0,5,4.8,H,670260,1.3884,103.78793
233,9:42,9:29,18:19,18:19,18:29,0:00,9:29,1,5,4.8,H,460211,1.3256,103.93241
234,5:50,9:05,18:25,18:25,18:34,0:00,9:05,1,4,4.8,H,470631,1.33331,103.91448
235,5:41,9:54,18:31,18:31,18:41,0:00,9:54,1,4,12.8,CWB,330027,1.31884,103.86282
236,2:25,9:32,18:33,18:34,18:44,1:00,10:31,2,3,4.8,H,570510,1.34878,103.8497
237,28:24:00,11:54,19:02,19:02,19:14,0:00,11:54,0,4,4.8,H,650156,1.34836,103.74384
238,48:11:00,7:17,19:50,19:50,19:57,0:00,7:17,0,5,4.8,H,680623,1.39832,103.74734
239,13:31,6:40,20:03,20:03,20:10,0:00,6:40,0,4,12.8,CWB,121441,1.31483,103.7646
240,17:58,10:39,20:21,20:21,20:32,0:00,10:39,0,5,4.8,H,530108,1.35288,103.8905
241,38:26:00,10:15,21:00,21:00,21:10,0:00,10:15,0,5,4.8,H,530682,1.37373,103.88552
242,19:44,8:20,22:20,22:20,22:28,0:00,8:20,0,4,4.8,H,530804,1.37115,103.89447
243,30:13:00,11:36,22:50,22:50,23:01,0:00,11:36,0,3,4.8,H,508913,1.37093,103.97119
244,3:27,13:21,22:53,22:53,23:07,0:00,13:21,1,5,4.8,H,540330,1.39681,103.88936
245,9:14,7:52,23:02,23:02,23:10,0:00,7:52,1,5,4.8,H,670260,1.3884,103.78793
246,2:05,9:28,23:04,23:07,23:16,2:03,11:31,2,4,4.8,H,460211,1.3256,103.93241
247,15:20,8:46,23:20,23:20,23:29,0:00,8:46,0,4,4.8,H,470631,1.33331,103.91448
248,1:18,8:59,0:21,0:21,0:30,0:00,8:59,0,5,4.8,H,330027,1.31884,103.86282
249,12:30,10:13,0:34,0:34,0:44,0:00,10:13,0,3,4.8,H,570510,1.34878,103.8497
250,5:14,11:32,0:39,0:39,0:50,0:00,11:32,1,4,4.8,H,650156,1.34836,103.74384
251,1:31,5:52,0:40,0:44,0:50,3:29,9:20,2,5,4.8,H,680623,1.39832,103.74734
252,0:51,11:39,0:41,0:50,1:01,8:30,20:08,3,2,4.8,H,121441,1.31483,103.7646
253,2:52,10:07,0:44,0:50,1:01,6:18,16:26,3,3,4.8,H,508913,1.37093,103.97119
254,30:26:00,9:28,1:15,1:15,1:24,0:00,9:28,0,5,4.8,H,540330,1.39681,103.88936
255,19:17,9:59,1:34,1:34,1:44,0:00,9:59,0,4,4.8,H,670260,1.3884,103.78793
256,4:08,8:03,1:38,1:38,1:46,0:00,8:03,1,5,12.8,CWB,460211,1.3256,103.93241
257,1:23,9:10,1:39,1:44,1:53,4:28,13:38,2,4,12.8,CWB,470631,1.33331,103.91448
